Organization,Address,ZIP,Main Phone,Hours,Payment,Age Range Served,Other Languages,Behavioral Services Types,Crisis Services,Grief Services - Availability,Location
YWCA - Roseland Center,839 W. 115th St.,60643,773-302-2040,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;,false,false,POINT (-87.644133135 41.685000573)
YWCA - Parks Francis Center,6600 S. Cottage Grove Ave.,60637,773-955-3100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;,false,false,POINT (-87.606334019 41.774726995)
University of Illinois Chicago Mile Square - South Shore,7037 S. Stony Island Ave.,60649,312-355-5590,"Weekdays: Monday 8am - 7pm; Tuesdays 9:30am - 6pm; Wednesday, Thursday, & Friday 8am - 6pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.585414968 41.766741011)
University of Illinois Chicago Mile Square - National Teacher's Academy Health and Wellness Center,55 W. Cermak Rd.,60616,312-413-3880,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;18-24 years old; 25-64 years old;18-24 years old;,,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,false,true,POINT (-87.628597025 41.851856011)
University of Illinois Chicago Mile Square - Main,1220 S. Wood St.,60608,312-996-2000,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Mandarin; Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.671374474 41.866087039)
University of Illinois Chicago Mile Square - Humboldt Park Center,3240 W. Division St.,60651,312-413-7425,"Weekdays: Monday & Thursday 8:20am - 7:30pm; Tuesday, Wednesday, & Friday 8:20am - 5pm
Weekends: Saturday (2nd & 4th) 8:20am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish; Korean,Behavioral Health Consulting;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.70837204 41.903073002)
University of Illinois Chicago Mile Square - Hope Health and Wellness Center,1628 W. Washington Blvd.,60612,312-226-3288,"Weekdays: Monday, Tuesday, Wednesday, & Friday 8am - 4pm; Thursday 10am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.66798803 41.883621999)
University of Illinois Chicago Mile Square - Englewood STEM Cook Satellite,8150 S Bishop St.,60620,312-996-2000,Weekdays: Monday-Friday 8am-4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;25-64 years old;18-24 years old,,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,false,true,POINT (-87.660074005 41.745491001)
University of Illinois Chicago Mile Square - Englewood Health and Wellness Center,6835 S. Normal Blvd.,60621,312-355-5901,Weekdays: Monday - Thursday 8:30am - 4:30pm; Friday 8:30am -12:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy;  Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychological Testing;,false,true,POINT (-87.636321032 41.770261997)
University of Illinois Chicago Mile Square - Englewood,641 W 63rd St.,60621,312-996-2000,Weekdays: Monday-Friday 9am-5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.641298961 41.779505979)
