zip,perc_college_or_more
60018,25.5
60106,22.9
60601,88.1
60602,82.2
60603,93.2
60604,93.5
60605,78.1
60606,91.8
60607,78.9
60608,30.4
60609,17.4
60610,78.3
60611,87.9
60612,39.5
60613,75.8
60614,85.9
60615,62.1
60616,49.9
60617,20.5
60618,53
60619,27.1
60620,17.8
60621,12.6
60622,71.9
60623,12.8
60624,11.1
60625,52.1
60626,50.1
60628,21.9
60629,12.2
60630,43.8
60631,48.6
60632,12.5
60633,14.7
60634,24.9
60636,10
60637,34.7
60638,23.1
60639,15
60640,61.1
60641,32.2
60642,76
60643,36.9
60644,11.7
60645,45.8
60646,54
60647,59
60649,25.4
60651,14.6
60652,19.1
60653,38
60654,89
60655,45.3
60656,40.8
60657,85.3
60659,38
60660,53.8
60661,91.4
60707,30
60827,14.6
