Patient_Zip,Overdose_Count_by_Zip_2020,Overdose_Count_by_Zip_2021,Overdose_Count_by_Zip_2022,zip
60827,68,62,70,60827
60805,36,25,29,60805
60804,124,133,133,60804
60714,29,23,14,60714
60712,11,NA,NA,60712
60707,97,57,64,60707
60706,39,31,23,60706
60691,NA,NA,NA,60691
60687,NA,NA,NA,60687
60680,NA,NA,NA,60680
60674,NA,NA,NA,60674
60661,NA,NA,NA,60661
60660,49,65,64,60660
60659,40,42,26,60659
60657,38,36,48,60657
60656,32,26,30,60656
60655,23,24,22,60655
60654,53,32,35,60654
60653,237,251,197,60653
60652,80,57,70,60652
60651,775,655,596,60651
60649,313,297,357,60649
60647,238,205,185,60647
60646,27,29,NA,60646
60645,64,62,50,60645
60644,793,742,630,60644
60643,109,104,111,60643
60642,27,29,17,60642
60641,174,163,119,60641
60640,199,201,227,60640
60639,310,256,213,60639
60638,143,126,101,60638
60637,256,315,286,60637
60636,289,321,301,60636
60634,124,109,91,60634
60633,NA,16,16,60633
60632,110,142,108,60632
60631,30,42,36,60631
60630,114,66,61,60630
60629,316,255,282,60629
60628,383,423,397,60628
60626,155,131,146,60626
60625,141,91,93,60625
60624,859,720,630,60624
60623,702,498,560,60623
60622,382,310,233,60622
60621,287,317,250,60621
60620,345,397,375,60620
60619,398,373,386,60619
60618,138,108,95,60618
60617,270,241,239,60617
60616,108,93,67,60616
60615,109,150,124,60615
60614,43,58,85,60614
60613,62,49,37,60613
60612,676,678,573,60612
60611,29,54,80,60611
60610,73,106,112,60610
60609,214,222,172,60609
60608,395,399,408,60608
60607,160,145,111,60607
60606,19,18,15,60606
60605,44,59,36,60605
60604,15,NA,NA,60604
60603,NA,NA,NA,60603
60602,NA,NA,NA,60602
60601,21,25,23,60601
60558,NA,NA,NA,60558
60546,18,20,30,60546
60534,19,15,20,60534
60527,39,NA,NA,60527
60526,NA,13,NA,60526
60525,34,34,33,60525
60523,14,NA,NA,60523
60521,11,NA,NA,60521
60513,14,16,17,60513
60501,21,33,19,60501
60459,43,48,36,60459
60458,26,38,32,60458
60456,NA,NA,11,60456
60455,43,32,44,60455
60453,89,80,92,60453
60402,139,135,136,60402
60305,NA,NA,NA,60305
60304,31,43,42,60304
60303,NA,NA,NA,60303
60302,81,96,120,60302
60301,NA,NA,NA,60301
60202,43,44,45,60202
60176,17,15,NA,60176
60171,27,17,NA,60171
60165,NA,NA,NA,60165
60164,53,48,NA,60164
60163,20,12,NA,60163
60162,27,15,NA,60162
60160,44,50,49,60160
60155,34,44,54,60155
60154,23,22,12,60154
60153,248,164,168,60153
60141,NA,NA,NA,60141
60131,38,24,NA,60131
60130,40,37,46,60130
60126,29,NA,NA,60126
60104,87,89,79,60104
60077,29,20,15,60077
60076,28,20,23,60076
60068,27,30,10,60068
60018,19,28,NA,60018
60666,NA,NA,NA,60666
60803,NA,31,32,60803
60690,NA,NA,NA,60690
60677,NA,NA,NA,60677
60670,NA,NA,NA,60670
60668,NA,NA,NA,60668
60473,NA,27,NA,60473
60454,NA,NA,NA,60454
60438,NA,21,NA,60438
60419,NA,39,35,60419
60411,NA,69,NA,60411
60409,NA,54,NA,60409
60406,NA,61,61,60406
60201,NA,48,37,60201
60161,NA,NA,NA,60161
60093,NA,NA,NA,60093
60091,NA,NA,NA,60091
60062,NA,NA,NA,60062
60056,NA,24,NA,60056
60053,NA,13,15,60053
60026,NA,NA,NA,60026
60025,NA,24,NA,60025
60016,NA,57,NA,60016
60203,NA,NA,NA,60203
60415,NA,NA,14,60415
60457,NA,NA,21,60457
60480,NA,NA,NA,60480
60664,NA,NA,NA,60664
60681,NA,NA,NA,60681
