Patient_Zip,Overdose_Count_by_Zip_2020
60827,68
60805,36
60804,124
60714,29
60712,11
60707,97
60706,39
60691,NA
60687,NA
60680,NA
60674,NA
60661,NA
60660,49
60659,40
60657,38
60656,32
60655,23
60654,53
60653,237
60652,80
60651,775
60649,313
60647,238
60646,27
60645,64
60644,793
60643,109
60642,27
60641,174
60640,199
60639,310
60638,143
60637,256
60636,289
60634,124
60633,NA
60632,110
60631,30
60630,114
60629,316
60628,383
60626,155
60625,141
60624,859
60623,702
60622,382
60621,287
60620,345
60619,398
60618,138
60617,270
60616,108
60615,109
60614,43
60613,62
60612,676
60611,29
60610,73
60609,214
60608,395
60607,160
60606,19
60605,44
60604,15
60603,NA
60602,NA
60601,21
60558,NA
60546,18
60534,19
60527,39
60526,NA
60525,34
60523,14
60521,11
60513,14
60501,21
60459,43
60458,26
60456,NA
60455,43
60453,89
60402,139
60305,NA
60304,31
60303,NA
60302,81
60301,NA
60202,43
60176,17
60171,27
60165,NA
60164,53
60163,20
60162,27
60160,44
60155,34
60154,23
60153,248
60141,NA
60131,38
60130,40
60126,29
60104,87
60077,29
60076,28
60068,27
60018,19
