zip,population_acs_2022,pop_10000_2022
60002,"24,398",2.4398
60004,"52,189",5.2189
60005,"29,216",2.9216
60007,"32,768",3.2768
60008,"22,863",2.2863
60010,"46,674",4.6674
60012,"11,736",1.1736
60013,"26,266",2.6266
60014,"48,568",4.8568
60015,"27,835",2.7835
60016,"61,988",6.1988
60018,"28,820",2.882
60020,"11,051",1.1051
60021,"5,199",0.5199
60022,"8,529",0.8529
60025,"40,858",4.0858
60026,"14,743",1.4743
60029,546,0.0546
60030,"35,978",3.5978
60031,"37,202",3.7202
60033,"13,574",1.3574
60034,"2,061",0.2061
60035,"30,215",3.0215
60040,"5,227",0.5227
60041,"8,843",0.8843
60042,"8,589",0.8589
60043,"2,537",0.2537
60044,"10,271",1.0271
60045,"21,159",2.1159
60046,"34,854",3.4854
60047,"43,750",4.375
60048,"29,452",2.9452
60050,"31,820",3.182
60051,"23,598",2.3598
60053,"24,910",2.491
60056,"56,651",5.6651
60060,"37,131",3.7131
60061,"27,602",2.7602
60062,"42,004",4.2004
60064,"15,380",1.538
60067,"38,380",3.838
60068,"39,332",3.9332
60069,"8,602",0.8602
60070,"15,721",1.5721
60071,"3,938",0.3938
60072,959,0.0959
60073,"62,071",6.2071
60074,"37,222",3.7222
60075,0,0
60076,"33,170",3.317
60077,"29,330",2.933
60081,"9,194",0.9194
60083,"9,699",0.9699
60084,"17,301",1.7301
60085,"71,465",7.1465
60087,"27,815",2.7815
60088,"14,143",1.4143
60089,"42,867",4.2867
60090,"38,753",3.8753
60091,"27,591",2.7591
60093,"20,272",2.0272
60096,"6,655",0.6655
60097,"11,865",1.1865
60098,"33,116",3.3116
60099,"31,523",3.1523
60101,"37,175",3.7175
60102,"32,227",3.2227
60103,"42,047",4.2047
60104,"18,621",1.8621
60106,"20,321",2.0321
60107,"39,450",3.945
60108,"23,647",2.3647
60109,434,0.0434
60110,"39,383",3.9383
60111,153,0.0153
60112,"4,783",0.4783
60113,245,0.0245
60115,"42,456",4.2456
60118,"15,623",1.5623
60119,"10,872",1.0872
60120,"50,589",5.0589
60123,"49,537",4.9537
60124,"24,172",2.4172
60126,"48,032",4.8032
60129,224,0.0224
60130,"14,165",1.4165
60131,"18,258",1.8258
60133,"37,222",3.7222
60134,"30,938",3.0938
60135,"7,021",0.7021
60136,"8,481",0.8481
60137,"38,945",3.8945
60139,"33,161",3.3161
60140,"21,287",2.1287
60141,280,0.028
60142,"29,449",2.9449
60143,"11,645",1.1645
60144,83,0.0083
60145,"2,539",0.2539
60146,"2,193",0.2193
60148,"52,598",5.2598
60150,"2,007",0.2007
60151,"3,944",0.3944
60152,"12,264",1.2264
60153,"23,385",2.3385
60154,"16,694",1.6694
60155,"7,965",0.7965
60156,"28,958",2.8958
60157,"2,550",0.255
60160,"25,177",2.5177
60162,"8,213",0.8213
60163,"5,273",0.5273
60164,"21,371",2.1371
60165,"4,566",0.4566
60169,"33,910",3.391
60171,"10,532",1.0532
60172,"24,016",2.4016
60173,"14,067",1.4067
60174,"30,799",3.0799
60175,"25,957",2.5957
60176,"11,600",1.16
60177,"23,931",2.3931
60178,"21,996",2.1996
60180,"1,721",0.1721
60181,"30,973",3.0973
60183,0,0
60184,"2,220",0.222
60185,"34,049",3.4049
60187,"29,258",2.9258
60188,"42,219",4.2219
60189,"31,036",3.1036
60190,"11,652",1.1652
60191,"14,193",1.4193
60192,"16,536",1.6536
60193,"39,451",3.9451
60194,"20,312",2.0312
60195,"5,018",0.5018
60201,"43,122",4.3122
60202,"33,868",3.3868
60203,"4,540",0.454
60208,191,0.0191
60301,"3,207",0.3207
