zip,population_2020,pop_10000_2020
60601,14513,1.4513
60602,1596,0.1596
60603,1186,0.1186
60604,729,0.0729
60605,30950,3.095
60606,3204,0.3204
60607,30306,3.0306
60608,80011,8.0011
60609,60551,6.0551
60610,40954,4.0954
60611,33937,3.3937
60612,32240,3.224
60613,51399,5.1399
60614,72391,7.2391
60615,41198,4.1198
60616,52557,5.2557
60617,82101,8.2101
60618,94646,9.4646
60619,61372,6.1372
60620,68761,6.8761
60621,26736,2.6736
60622,52957,5.2957
60623,77732,7.7732
60624,35054,3.5054
60625,78820,7.882
60632,86715,8.6715
60633,12720,1.272
60634,75604,7.5604
60636,30039,3.0039
60637,46621,4.6621
60638,57057,5.7057
60639,88515,8.8515
60640,69726,6.9726
60641,70163,7.0163
60642,20191,2.0191
60643,48572,4.8572
60644,45919,4.5919
60645,46924,4.6924
60646,29043,2.9043
60647,85658,8.5658
60649,47084,4.7084
60651,63679,6.3679
60652,42296,4.2296
60653,33574,3.3574
60654,20812,2.0812
60655,27771,2.7771
60656,28982,2.8982
60657,70489,7.0489
60659,43843,4.3843
60660,45131,4.5131
60661,10734,1.0734
60666,0,0
60707,42434,4.2434
60827,28327,2.8327
60626,50295,5.0295
60628,64489,6.4489
60629,107487,10.7487
60630,55591,5.5591
60631,30589,3.0589
