"","year","title","date","link"
"1",2024,"Governor Abbott Appoints Four To Texas Commission On Law Enforcement","Jan 31","https://gov.texas.gov/news/post/governor-abbott-appoints-four-to-texas-commission-on-law-enforcement"
"2",2024,"Governor Abbott Bolsters Enduring Economic, Cultural Bond With India","Jan 29","https://gov.texas.gov/news/post/governor-abbott-bolsters-enduring-economic-cultural-bond-with-india"
"3",2024,"Governor Abbott Champions Texas-India Economic Partnership At 7th India-U.S. Forum In New Delhi","Jan 27","https://gov.texas.gov/news/post/governor-abbott-champions-texas-india-economic-partnership-at-7th-india-u.s-forum-in-new-delhi"
"4",2024,"Operation Lone Star Holds The Line To Defend Southern Border","Jan 26","https://gov.texas.gov/news/post/operation-lone-star-holds-the-line-to-defend-southern-border"
"5",2024,"Governor Abbott Highlights Texas’ Robust Technology Industry In New Delhi","Jan 25","https://gov.texas.gov/news/post/governor-abbott-highlights-texas-robust-technology-industry-in-new-delhi"
"6",2024,"Governor Abbott Touts Texas’ Energy, Tech Industries In New Delhi","Jan 24","https://gov.texas.gov/news/post/governor-abbott-touts-texas-energy-tech-industries-in-new-delhi"
"7",2024,"Governor Abbott Issues Statement On Texas’ Constitutional Right To Self-Defense","Jan 24","https://gov.texas.gov/news/post/governor-abbott-issues-statement-on-texas-constitutional-right-to-self-defense"
"8",2024,"Governor Abbott Showcases Texas’ Manufacturing, Energy Industries In Mumbai","Jan 23","https://gov.texas.gov/news/post/governor-abbott-showcases-texas-manufacturing-energy-industries-in-mumbai"
"9",2024,"Texas Adds More Jobs In 2023 Than Any Other State","Jan 23","https://gov.texas.gov/news/post/texas-adds-more-jobs-in-2023-than-any-other-state"
"10",2024,"Governor Abbott Strengthens Economic Relationships With Technology Partners In Mumbai","Jan 22","https://gov.texas.gov/news/post/governor-abbott-strengthens-economic-relationships-with-technology-partners-in-mumbai"
"11",2024,"Operation Lone Star Reinforces Border Barriers To Deter Illegal Crossings","Jan 19","https://gov.texas.gov/news/post/operation-lone-star-reinforces-border-barriers-to-deter-illegal-crossings"
"12",2024,"Governor Abbott Appoints And Names Gleeson Chair Of Public Utility Commission Of Texas","Jan 19","https://gov.texas.gov/news/post/governor-abbott-appoints-and-names-gleeson-chair-of-public-utility-commission-of-texas"
"13",2024,"Governor Abbott To Lead Economic Development Mission To India","Jan 19","https://gov.texas.gov/news/post/governor-abbott-to-lead-economic-development-mission-to-india"
"14",2024,"Texas Grows Jobs Faster Than Nation, Smashing Historic Highs","Jan 19","https://gov.texas.gov/news/post/texas-grows-jobs-faster-than-nation-smashing-historic-highs"
"15",2024,"Governor Abbott Announces Film Friendly Texas Designation For Forney","Jan 18","https://gov.texas.gov/news/post/governor-abbott-announces-film-friendly-texas-designation-for-forney"
"16",2024,"Governor Abbott Orders Special Election To Be Held In Senate District 15","Jan 18","https://gov.texas.gov/news/post/governor-abbott-orders-special-election-to-be-held-in-senate-district-15"
"17",2024,"Governor Abbott Renews Border Security Disaster Declaration In January 2024","Jan 18","https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-declaration-in-january-2024"
"18",2024,"Governor Abbott Renews Drought Disaster Declaration In January 2024","Jan 18","https://gov.texas.gov/news/post/governor-abbott-renews-drought-disaster-declaration-in-january-2024"
"19",2024,"Governor Abbott Statement On DOJ Critical Incident Review Of Robb Elementary School Tragedy","Jan 18","https://gov.texas.gov/news/post/governor-abbott-statement-on-doj-critical-incident-review-of-robb-elementary-school-tragedy"
"20",2024,"Governor Abbott, HHSC Announce Medicaid, CHIP Postpartum Coverage Extension To 12 Months","Jan 17","https://gov.texas.gov/news/post/governor-abbott-hhsc-announce-medicaid-chip-postpartum-coverage-extension-to-12-months"
"21",2024,"Governor Abbott Appoints Three To Sabine River Authority Board Of Directors","Jan 12","https://gov.texas.gov/news/post/governor-abbott-appoints-three-to-sabine-river-authority-board-of-directors-"
"22",2024,"Texas Transports Over 100,000 Migrants To Sanctuary Cities","Jan 12","https://gov.texas.gov/news/post/texas-transports-over-100000-migrants-to-sanctuary-cities"
"23",2024,"Governor Abbott Provides Update On State Response Ahead Of Severe Winter Weather","Jan 12","https://gov.texas.gov/news/post/governor-abbott-provides-update-on-state-response-ahead-of-severe-winter-weather"
"24",2024,"Governor Abbott Names Chair, Appoints Four To Texas Commission On The Arts","Jan 11","https://gov.texas.gov/news/post/governor-abbott-names-chair-appoints-four-to-texas-commission-on-the-arts"
"25",2024,"Governor Abbott Launches New Tourism Friendly Texas Community Program","Jan 11","https://gov.texas.gov/news/post/governor-abbott-launches-new-tourism-friendly-texas-community-program"
"26",2024,"Governor Abbott Announces Marble Falls Designated Music Friendly Texas Certified Community","Jan 10","https://gov.texas.gov/news/post/governor-abbott-announces-marble-falls-designated-music-friendly-texas-certified-community"
"27",2024,"Governor Abbott Announces $15.4 Million In Grants To Texas Military Communities","Jan 9","https://gov.texas.gov/news/post/governor-abbott-announces-15.4-million-in-grants-to-texas-military-communities"
"28",2024,"Governor Abbott Appoints Riojas, Boening To Texas Farm And Ranch Lands Conservation Council","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-riojas-boening-to-texas-farm-and-ranch-lands-conservation-council"
"29",2024,"Governor Abbott Statement On Sandman Hotel Explosion In Fort Worth","Jan 8","https://gov.texas.gov/news/post/governor-abbott-statement-on-sandman-hotel-explosion-in-fort-worth"
"30",2024,"Governor Abbott Increases Readiness Level Of State Operations Center Ahead Of Severe Weather Threats","Jan 7","https://gov.texas.gov/news/post/governor-abbott-increases-readiness-level-of-state-operations-center-ahead-of-severe-weather-threats"
"31",2024,"Operation Lone Star Ramps Up Historic Response To Biden’s Border Crisis","Jan 5","https://gov.texas.gov/news/post/operation-lone-star-ramps-up-historic-response-to-bidens-border-crisis"
"32",2024,"Governor Abbott Appoints 15 To Governor’s Commission For Women","Jan 5","https://gov.texas.gov/news/post/governor-abbott-appoints-15-to-governors-commission-for-women"
"33",2024,"Texas Wins 2023 State Of The Year","Jan 5","https://gov.texas.gov/news/post/texas-wins-2023-state-of-the-year"
"34",2024,"Governor Abbott Appoints Halman To Department Of Information Resources","Jan 5","https://gov.texas.gov/news/post/governor-abbott-appoints-halman-to-department-of-information-resources"
"35",2024,"Governor Abbott Reappoints Three To Texas State Board Of Examiners Of Psychologists","Jan 4","https://gov.texas.gov/news/post/governor-abbott-reappoints-three-to-texas-state-board-of-examiners-of-psychologists"
"36",2024,"Governor Abbott Statement On NYC Lawsuit Against Bus Companies Transporting Migrants","Jan 4","https://gov.texas.gov/news/post/governor-abbott-statement-on-nyc-lawsuit-against-bus-companies-transporting-migrants"
"37",2024,"First Lady Abbott Announces GRACE’s Fourth Annual Week Of Prayer To End Human Trafficking","Jan 4","https://gov.texas.gov/news/post/first-lady-abbott-announces-graces-fourth-annual-week-of-prayer-to-end-human-trafficking"
"38",2024,"Governor Abbott Announces Tyler Designated Music Friendly Texas Certified Community","Jan 4","https://gov.texas.gov/news/post/governor-abbott-announces-tyler-designated-music-friendly-texas-certified-community"
"39",2024,"Governor Abbott Appoints Four To Texas State Board Of Pharmacy","Jan 4","https://gov.texas.gov/news/post/governor-abbott-appoints-four-to-texas-state-board-of-pharmacy"
"40",2024,"Governor Abbott Recognizes January 2024 As Human Trafficking Prevention Month","Jan 3","https://gov.texas.gov/news/post/governor-abbott-recognizes-january-2024-as-human-trafficking-prevention-month"
"41",2024,"Governor Abbott Appoints Three To Task Force On Consolidation Of Workforce And Social Services","Jan 3","https://gov.texas.gov/news/post/governor-abbott-appoints-three-to-task-force-on-consolidation-of-workforce-and-social-services"
"42",2024,"Texas Economy Again Expands Faster Than Nation 5th Quarter In A Row","Jan 3","https://gov.texas.gov/news/post/texas-economy-again-expands-faster-than-nation-5th-quarter-in-a-row"
"43",2024,"Governor Abbott Names Chair, Appoints Three To Texas Pharmaceutical Initiative Governing Board","Jan 3","https://gov.texas.gov/news/post/governor-abbott-names-chair-appoints-three-to-texas-pharmaceutical-initiative-governing-board"
"44",2024,"Governor Abbott Announces Belton Designated Music Friendly Texas Certified Community","Jan 2","https://gov.texas.gov/news/post/governor-abbott-announces-belton-designated-music-friendly-texas-certified-community"
"45",2024,"Governor Abbott Grants Temporary Waivers To Respond To Texas Wildfires","Feb 29","https://gov.texas.gov/news/post/governor-abbott-grants-temporary-waivers-to-respond-to-texas-wildfires"
"46",2024,"Governor Abbott Hosts 45th President Donald J. Trump For A Border Security Briefing In Eagle Pass","Feb 29","https://gov.texas.gov/news/post/governor-abbott-hosts-45th-president-donald-j-trump-for-a-border-security-briefing-in-eagle-pass"
"47",2024,"Governor Abbott Statement On Preliminary Injunction Against SB 4","Feb 29","https://gov.texas.gov/news/post/governor-abbott-statement-on-preliminary-injunction-against-sb-4"
"48",2024,"Texas Extends Postpartum Coverage For Medicaid, CHIP Recipients","Feb 28","https://gov.texas.gov/news/post/texas-extends-postpartum-coverage-for-medicaid-chip-recipients"
"49",2024,"Governor Abbott Deploys Additional State Emergency Response Resources For Wildfires, Announces Federal Assistance","Feb 28","https://gov.texas.gov/news/post/governor-abbott-deploys-additional-state-emergency-response-resources-for-wildfires-announces-federal-assistance"
"50",2024,"Governor Abbott Announces 2024 Governor’s Small Business Summit Host Cities","Feb 28","https://gov.texas.gov/news/post/governor-abbott-announces-2024-governors-small-business-summit-host-cities"
"51",2024,"Governor Abbott Issues Disaster Declaration For Texas Wildfires","Feb 27","https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-for-texas-wildfires"
"52",2024,"Governor Abbott Issues Wildfire Disaster Declaration In February 2024","Feb 27","https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-february-2024"
"53",2024,"Governor Abbott Invites Texas Communities To Film Friendly Texas Forum","Feb 27","https://gov.texas.gov/news/post/governor-abbott-invites-texas-communities-to-film-friendly-texas-forum"
