Race,Year,Percent
NonLatino/a/x Black,2023**,41.2
NonLatino/a/x Black,2022*,73
NonLatino/a/x Black,2021*,77.5
NonLatino/a/x Black,2020,78.6
NonLatino/a/x Black,2019,78.8
NonLatino/a/x Black,2018,69.1
NonLatino/a/x Black,2017,74.6
NonLatino/a/x Black,2016,76.3
NonLatino/a/x Black,2015,76
NonLatino/a/x Black,2014,75.6
NonLatino/a/x Black,2013,76.3
NonLatino/a/x Black,2012,78
NonLatino/a/x Black,2011,79
NonLatino/a/x Black,2009,80
NonLatino/a/x Black,2007,76
NonLatino/a/x Black,2005,73
NonLatino/a/x White,2023**,6.5
NonLatino/a/x White,2022*,20.4
NonLatino/a/x White,2021*,18.5
NonLatino/a/x White,2020,18.1
NonLatino/a/x White,2019,18.3
NonLatino/a/x White,2018,25.4
NonLatino/a/x White,2017,21.4
NonLatino/a/x White,2016,19.4
NonLatino/a/x White,2015,20.5
NonLatino/a/x White,2014,22.1
NonLatino/a/x White,2013,21.6
NonLatino/a/x White,2012,20
NonLatino/a/x White,2011,20
NonLatino/a/x White,2009,17.1
NonLatino/a/x White,2007,15
NonLatino/a/x White,2005,12
NonLatino/a/x Asian,2023**,0.8
NonLatino/a/x Asian,2022*,1.1
NonLatino/a/x Asian,2021*,0.9
NonLatino/a/x Asian,2020,1.3
NonLatino/a/x Asian,2019,0.9
NonLatino/a/x Asian,2018,0.9
NonLatino/a/x Asian,2017,0.7
NonLatino/a/x Asian,2016,1
NonLatino/a/x Asian,2015,0.9
NonLatino/a/x Asian,2014,1.3
NonLatino/a/x Asian,2013,1.4
NonLatino/a/x Asian,2012,1.2
NonLatino/a/x Asian,2011,1
NonLatino/a/x Asian,2009,1.3
NonLatino/a/x Asian,2007,0.4
NonLatino/a/x Asian,2005,1
NonLatino/a/x Multiple,2023**,1
NonLatino/a/x Multiple,2022*,3.5
NonLatino/a/x Multiple,2021*,1.3
NonLatino/a/x Multiple,2020,0.8
NonLatino/a/x Multiple,2019,0.6
NonLatino/a/x Multiple,2018,2.9
NonLatino/a/x Multiple,2017,1.1
NonLatino/a/x Multiple,2016,2.3
NonLatino/a/x Multiple,2015,2.3
NonLatino/a/x Multiple,2014,NA
NonLatino/a/x Multiple,2013,NA
NonLatino/a/x Multiple,2012,NA
NonLatino/a/x Multiple,2011,NA
NonLatino/a/x Multiple,2009,NA
NonLatino/a/x Multiple,2007,NA
NonLatino/a/x Multiple,2005,NA
NonLatino/a/x Other,2023**,0
NonLatino/a/x Other,2022*,2
NonLatino/a/x Other,2021*,1.8
NonLatino/a/x Other,2020,1.2
NonLatino/a/x Other,2019,1.3
NonLatino/a/x Other,2018,1.7
NonLatino/a/x Other,2017,NA
NonLatino/a/x Other,2016,NA
NonLatino/a/x Other,2015,NA
NonLatino/a/x Other,2014,NA
NonLatino/a/x Other,2013,NA
NonLatino/a/x Other,2012,NA
NonLatino/a/x Other,2011,NA
NonLatino/a/x Other,2009,NA
NonLatino/a/x Other,2007,NA
NonLatino/a/x Other,2005,NA
Latino/a/x,2023**,50.5
Latino/a/x,2022*,13.2
Latino/a/x,2021*,11.5
Latino/a/x,2020,12.3
Latino/a/x,2019,10.8
Latino/a/x,2018,11
Latino/a/x,2017,9.9
Latino/a/x,2016,9.5
Latino/a/x,2015,10.1
Latino/a/x,2014,9.3
Latino/a/x,2013,10
Latino/a/x,2012,11
Latino/a/x,2011,10
Latino/a/x,2009,12
Latino/a/x,2007,6
Latino/a/x,2005,8
