Location,Responses,Year,Latitude,Longitude
"The Loop, River North",170,2023,41.89248569,-87.63404488
CTA - Red Line (95th/Dan Ryan),125,2023,41.72258849,-87.62443386
CTA - Blue Line (Forest Park),118,2023,41.87370675,-87.81697954
Near West Side/Medical District,112,2023,41.86883204,-87.67398565
CTA - Blue Line (Cumberland/Rosemont),71,2023,41.98388347,-87.8386246
North Side,58,2023,41.90389519,-87.63211613
CTA - Red Line,54,2023,41.88990018,-87.6280878
South Side (East of State),38,2023,41.75042677,-87.63411546
O'Hare Airport,33,2023,41.98037676,-87.90900606
South Side (West of State),29,2023,41.75042677,-87.63411546
CTA - Red Line (Howard),13,2023,42.0188962,-87.67255656
"West Town, Kennedy Expressway",13,2023,41.95930482,-87.74088846
Midway Airport Terminal,12,2023,41.78852626,-87.74167007
Northwest Side,2,2023,41.88530874,-87.79271259
CTA - Blue Line (Forest Park),175,2022,41.87370675,-87.81697954
CTA - Red Line (95th/Dan Ryan),174,2022,41.72258849,-87.62443386
CTA - Red Line (Howard),141,2022,42.0188962,-87.67255656
Near West Side/Medical District,82,2022,41.86883204,-87.67398565
"The Loop, River North",65,2022,41.89248569,-87.63404488
North Side,49,2022,41.90389519,-87.63211613
"West Town, Kennedy Expressway",35,2022,41.95930482,-87.74088846
CTA - Blue Line (Cumberland/Rosemont),32,2022,41.98388347,-87.8386246
CTA - Red Line,32,2022,41.88990018,-87.6280878
Stevenson Expressway (Archer/Canalport),13,2022,41.84805,-87.63485
O'Hare Airport,10,2022,41.98037676,-87.90900606
