Race,Year,Percent
NonLatino/a/x Black,2023**,65.6
NonLatino/a/x Black,2022*,81.8
NonLatino/a/x Black,2021*,64.2
NonLatino/a/x Black,2020,72.8
NonLatino/a/x Black,2019,73.6
NonLatino/a/x Black,2018,73.5
NonLatino/a/x Black,2017,75.9
NonLatino/a/x Black,2016,71.8
NonLatino/a/x Black,2015,72.1
NonLatino/a/x Black,2014,73.8
NonLatino/a/x Black,2013,73.3
NonLatino/a/x Black,2012,NA
NonLatino/a/x Black,2011,77
NonLatino/a/x Black,2009,76
NonLatino/a/x Black,2007,74
NonLatino/a/x Black,2005,73
NonLatino/a/x White,2023**,21.4
NonLatino/a/x White,2022*,17.7
NonLatino/a/x White,2021*,27.6
NonLatino/a/x White,2020,25.4
NonLatino/a/x White,2019,23.4
NonLatino/a/x White,2018,22.5
NonLatino/a/x White,2017,23.1
NonLatino/a/x White,2016,26
NonLatino/a/x White,2015,23.1
NonLatino/a/x White,2014,23.9
NonLatino/a/x White,2013,24.9
NonLatino/a/x White,2012,NA
NonLatino/a/x White,2011,22
NonLatino/a/x White,2009,23
NonLatino/a/x White,2007,18
NonLatino/a/x White,2005,17
NonLatino/a/x Asian,2023**,0.7
NonLatino/a/x Asian,2022*,0.3
NonLatino/a/x Asian,2021*,1.6
NonLatino/a/x Asian,2020,0.7
NonLatino/a/x Asian,2019,0.9
NonLatino/a/x Asian,2018,0.7
NonLatino/a/x Asian,2017,0.6
NonLatino/a/x Asian,2016,0.2
NonLatino/a/x Asian,2015,0.4
NonLatino/a/x Asian,2014,0.5
NonLatino/a/x Asian,2013,0.3
NonLatino/a/x Asian,2012,NA
NonLatino/a/x Asian,2011,0.5
NonLatino/a/x Asian,2009,1
NonLatino/a/x Asian,2007,1
NonLatino/a/x Asian,2005,0
NonLatino/a/x Multiple,2023**,0.2
NonLatino/a/x Multiple,2022*,0.2
NonLatino/a/x Multiple,2021*,4.8
NonLatino/a/x Multiple,2020,0.4
NonLatino/a/x Multiple,2019,0.6
NonLatino/a/x Multiple,2018,1.8
NonLatino/a/x Multiple,2017,0.4
NonLatino/a/x Multiple,2016,1.3
NonLatino/a/x Multiple,2015,3.3
NonLatino/a/x Multiple,2014,NA
NonLatino/a/x Multiple,2013,NA
NonLatino/a/x Multiple,2012,NA
NonLatino/a/x Multiple,2011,NA
NonLatino/a/x Multiple,2009,NA
NonLatino/a/x Multiple,2007,NA
NonLatino/a/x Multiple,2005,NA
NonLatino/a/x Other,2023**,0
NonLatino/a/x Other,2022*,0
NonLatino/a/x Other,2021*,1.8
NonLatino/a/x Other,2020,0.7
NonLatino/a/x Other,2019,1.4
NonLatino/a/x Other,2018,1.5
NonLatino/a/x Other,2017,NA
NonLatino/a/x Other,2016,NA
NonLatino/a/x Other,2015,NA
NonLatino/a/x Other,2014,NA
NonLatino/a/x Other,2013,NA
NonLatino/a/x Other,2012,NA
NonLatino/a/x Other,2011,NA
NonLatino/a/x Other,2009,NA
NonLatino/a/x Other,2007,NA
NonLatino/a/x Other,2005,NA
Latino/a/x,2023**,12.1
Latino/a/x,2022*,7.6
Latino/a/x,2021*,14
Latino/a/x,2020,9.2
Latino/a/x,2019,10.2
Latino/a/x,2018,11
Latino/a/x,2017,6.1
Latino/a/x,2016,12.8
Latino/a/x,2015,10.9
Latino/a/x,2014,9.2
Latino/a/x,2013,6.1
Latino/a/x,2012,NA
Latino/a/x,2011,7.2
Latino/a/x,2009,9
Latino/a/x,2007,5
Latino/a/x,2005,7
