Date,Men,Women,Adults,Children,Date Total,Cumulative Adults,Cumulative Children,Cumulative Total
8/31/2022,,,76,,76,76,0,76
9/4/2022,11,12,23,15,38,99,15,114
9/7/2022,89,30,119,28,147,218,43,261
9/9/2022,77,7,84,6,90,302,49,351
9/15/2022,57,23,80,17,97,498,95,593
9/16/2022,30,11,41,7,48,539,102,641
9/17/2022,29,6,35,5,40,574,107,681
9/18/2022,69,25,94,15,109,668,122,790
9/20/2022,28,39,67,24,91,735,146,881
9/21/2022,20,9,29,4,33,764,150,914
9/22/2022,66,38,104,37,141,868,187,1055
9/23/2022,56,29,85,24,109,953,211,1164
9/24/2022,73,34,107,33,140,1060,244,1304
9/25/2022,24,9,33,8,41,1093,252,1345
9/26/2022,51,22,73,23,96,1166,275,1441
9/27/2022,55,11,66,15,81,1232,290,1522
9/28/2022,27,21,48,18,66,1280,308,1588
9/29/2022,100,17,117,20,137,1397,328,1725
9/30/2022,68,25,93,27,120,1490,355,1845
10/1/2022,35,29,64,12,76,1554,367,1921
10/2/2022,35,7,42,8,50,1596,375,1971
10/3/2022,47,22,69,27,96,1665,402,2067
10/4/2022,94,17,111,19,130,1776,421,2197
10/5/2022,52,18,70,34,104,1846,455,2301
10/6/2022,147,24,171,32,203,2017,487,2504
10/7/2022,69,23,92,21,113,2109,508,2617
10/8/2022,31,12,43,19,62,2152,527,2679
10/9/2022,97,1,98,2,100,2250,529,2779
10/10/2022,51,9,60,15,75,2310,544,2854
10/11/2022,81,21,102,23,125,2412,567,2979
10/12/2022,62,7,69,9,78,2481,576,3057
10/13/2022,89,31,120,38,158,2601,614,3215
10/14/2022,49,16,65,21,86,2666,635,3301
10/15/2022,49,28,77,18,95,2743,653,3396
10/17/2022,26,40,66,32,98,2809,685,3494
10/18/2022,14,17,31,16,47,2840,701,3541
10/19/2022,7,8,15,12,27,2855,713,3568
10/20/2022,15,5,20,7,27,2875,720,3595
10/21/2022,10,9,19,13,32,2894,733,3627
10/27/2022,16,7,23,5,28,2917,738,3655
11/11/2022,10,4,14,3,17,2931,741,3672
11/23/2022,7,6,13,4,17,2944,745,3689
11/27/2022,1,1,2,2,4,2946,747,3693
12/1/2022,8,8,16,1,17,2962,748,3710
12/8/2022,8,1,9,2,11,2971,750,3721
12/14/2022,7,2,9,0,9,2980,750,3730
12/15/2022,6,4,10,7,17,2990,757,3747
12/20/2022,23,5,28,0,28,3018,757,3775
1/3/2023,4,2,6,1,7,3024,758,3782
1/4/2023,25,11,36,8,44,3060,766,3826
1/5/2023,0,0,0,0,0,3060,766,3826
1/6/2023,16,5,21,2,23,3081,768,3849
1/7/2023,67,13,80,7,87,3161,775,3936
5/9/2023,14,12,26,22,48,3187,797,3984
5/12/2023,8,10,18,8,26,3205,805,4010
5/13/2023,1,6,7,0,7,3212,805,4017
5/14/2023,36,10,46,12,58,3258,817,4075
5/16/2023,42,9,51,10,61,3309,827,4136
5/17/2023,13,11,24,19,43,3333,846,4179
5/18/2023,8,13,21,19,40,3354,865,4219
5/20/2023,7,13,20,21,41,3374,886,4260
5/24/2023,14,9,23,12,35,3397,898,4295
5/31/2023,15,8,23,7,30,3420,905,4325
6/4/2023,14,6,20,4,24,3440,909,4349
6/7/2023,8,7,15,8,23,3455,917,4372
6/9/2023,11,5,16,2,18,3471,919,4390
6/13/2023,6,5,11,11,22,3482,930,4412
6/14/2023,7,8,15,6,21,3497,936,4433
6/15/2023,9,11,20,28,48,3517,964,4481
6/16/2023,9,4,13,5,18,3530,969,4499
6/20/2023,34,26,60,42,102,3590,1011,4601
6/22/2023,23,15,38,24,62,3628,1035,4663
6/24/2023,14,19,33,34,67,3661,1069,4730
6/25/2023,6,5,11,7,18,3672,1076,4748
6/26/2023,11,5,16,2,18,3688,1078,4766
6/27/2023,39,32,71,46,117,3759,1124,4883
6/28/2023,6,9,15,11,26,3774,1135,4909
6/29/2023,8,6,14,4,46,3788,1139,4955
6/30/2023,3,0,3,0,3,3791,1139,4958
7/1/2023,16,11,27,16,43,3818,1155,5001
7/4/2023,32,30,62,42,104,3880,1197,5105
